timeStep pedestrianId x-PID4 y-PID4
1 1 1.201 29.201
2 1 1.715387435054311 28.52338218741743
3 1 1.9729689531118202 26.310044478764624
4 1 2.281382499268554 23.144658363299687
5 1 2.300804961326883 19.298343557436333
6 1 3.41590612190052 15.826642688798591
7 1 7.703440963839212 14.95870392622416
8 1 12.426093641334365 14.429310184697947
9 1 17.337842981986796 13.878284071196243
10 1 22.4042872496761 13.708204541051504
11 1 26.898947661168002 12.85233095875446
12 1 27.753139035995048 8.219316502917522
13 1 27.760151577641277 3.0629895814842474
13 2 1.4075776155564912 28.87685176668854
14 1 27.76247567726393 1.833135364721973
14 2 1.7812198884799726 28.009198349936923
15 2 1.9395497741210392 26.596998892179435
16 2 2.1308973490870975 24.88961116409957
17 2 2.2820445447879623 22.97199957635678
18 2 2.2896373113325876 20.90213023348219
19 2 2.3072547442420226 18.735968916476523
20 2 2.560285149280638 16.79829485466279
21 2 3.968383316478628 15.480529726386589
22 2 6.154019707903032 15.133628513303883
23 2 8.41209478586368 14.880375071533917
24 2 10.709618370055992 14.622691665489436
24 3 1.3172963702938751 29.000102997842745
25 2 13.034659353337197 14.361873045137239
25 3 1.70806903561802 28.552252339186015
26 2 15.378910773441666 14.098975851313291
26 3 1.8173299282738775 27.703011134023775
27 2 17.73655519555038 13.834542296594957
27 3 1.9325676260247653 26.67350663555208
28 2 20.11965735940684 13.702990081257761
28 3 2.061691825762876 25.519823953172455
29 2 22.488384343967972 13.698088728794863
29 3 2.2004755458690766 24.279501827070398
30 2 24.822341371340066 13.672853809261598
30 3 2.2820564087005026 22.97446061706484
31 2 26.686779701997203 13.079526857109382
31 3 2.286620045492146 21.623151859662205
32 2 27.626147976187845 11.363892815172315
32 3 2.2934484643264477 20.242257774786726
33 2 27.7503780434147 9.081318360931343
33 3 2.305893445517636 18.843952851606875
34 2 27.75660098628471 6.751656625141503
34 3 2.401533133274599 17.508563674932304
35 2 27.759265470659678 4.399655633213284
35 3 2.7652266808038135 16.465680209036712
35 4 1.7154528405579148 28.529933449164457
36 2 27.760896137069686 2.0417521894354698
36 3 3.6160484430580255 15.637929640464796
36 4 1.9712310998343385 26.331174570005683
37 3 4.894670285222928 15.28503392377476
37 4 2.2808562225407654 23.186854593629384
38 3 6.256906004851521 15.122902911090463
38 4 2.300156918347676 19.36576735075425
39 3 7.643608068689313 14.967310637034487
39 4 3.361893223368785 15.880442140466183
40 3 9.046486371232783 14.80991851180316
